k,threshold,precision,recall,f1,n_flagged
1.0,0.022723834961652756,0.006134969325153374,0.08771929824561403,0.011467889908256881,815
1.5,0.02632695809006691,0.009592326139088728,0.07017543859649122,0.016877637130801686,417
2.0,0.029930084943771362,0.01079136690647482,0.05263157894736842,0.01791044776119403,278
2.5,0.033533208072185516,0.014423076923076924,0.05263157894736842,0.022641509433962263,208
3.0,0.03713633120059967,0.012658227848101266,0.03508771929824561,0.018604651162790697,158
3.5,0.04073945805430412,0.008264462809917356,0.017543859649122806,0.011235955056179775,121
4.0,0.044342584908008575,0.010101010101010102,0.017543859649122806,0.01282051282051282,99
