k,threshold,precision,recall,f1,n_flagged
1.0,0.01087862066924572,0.01358695652173913,0.2631578947368421,0.025839793281653745,1104
1.5,0.012420155107975006,0.01565217391304348,0.15789473684210525,0.028481012658227847,575
2.0,0.013961687684059143,0.020114942528735632,0.12280701754385964,0.0345679012345679,348
2.5,0.01550322212278843,0.021834061135371178,0.08771929824561403,0.03496503496503497,229
3.0,0.017044756561517715,0.01818181818181818,0.05263157894736842,0.02702702702702703,165
3.5,0.018586289137601852,0.015384615384615385,0.03508771929824561,0.0213903743315508,130
4.0,0.02012782171368599,0.01,0.017543859649122806,0.012738853503184714,100
