Season,Round,Circuit,Driver,LapNumber,LapTime_s,Compound,TyreLife,IsPit,Label,anomaly_score,error_Speed,error_Throttle,error_Brake,error_RPM,error_nGear,dominant_channel,elevated_channels,failure_mode
2024,13,Hungarian Grand Prix,NOR,33,83.992,HARD,17,False,normal,0.01522784773260355,0.002248655306175351,0.025315554812550545,0.03619766607880592,0.006899740546941757,0.005477632861584425,Brake,"['Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,NOR,67,85.666,MEDIUM,23,False,normal,0.02017802558839321,0.007151552010327578,0.04209545627236366,0.028655417263507843,0.010051153600215912,0.012936543673276901,Throttle,"['Speed', 'Throttle', 'RPM', 'nGear']",complex_multi_channel
2024,13,Hungarian Grand Prix,NOR,68,86.787,MEDIUM,24,False,normal,0.03050740621984005,0.015041755512356758,0.04954288527369499,0.0477278046309948,0.018159911036491394,0.022064674645662308,Throttle,"['Speed', 'Throttle', 'Brake', 'RPM', 'nGear']",complex_multi_channel
2024,13,Hungarian Grand Prix,HAM,33,84.117,HARD,17,False,normal,0.014808036386966705,0.0023728704545646906,0.026937955990433693,0.03510229289531708,0.0045110504142940044,0.005116000771522522,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,LEC,33,83.066,HARD,10,False,normal,0.0215718075633049,0.003257308853790164,0.03383224084973335,0.057019878178834915,0.00828124862164259,0.005468353629112244,Brake,"['Speed', 'Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,LEC,34,83.207,HARD,11,False,normal,0.01505457516759634,0.0015390402404591441,0.019345175474882126,0.04555229842662811,0.00460060266777873,0.004235745873302221,Brake,['Brake'],brake_system
2024,13,Hungarian Grand Prix,VER,4,86.075,MEDIUM,4,False,normal,0.018237967044115067,0.0022007450461387634,0.03325112164020538,0.04195673391222954,0.0058618150651454926,0.007919405587017536,Brake,"['Throttle', 'Brake', 'nGear']",complex_multi_channel
2024,13,Hungarian Grand Prix,VER,23,82.769,HARD,2,False,normal,0.014306453987956047,0.0013921222416684031,0.019371993839740753,0.041737448424100876,0.0051985569298267365,0.00383214233443141,Brake,['Brake'],brake_system
2024,13,Hungarian Grand Prix,VER,33,83.585,HARD,12,False,normal,0.017753588035702705,0.0029480180237442255,0.0259061548858881,0.04512161761522293,0.008869673125445843,0.005922469310462475,Brake,"['Speed', 'Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,VER,63,88.648,MEDIUM,14,False,normal,0.03371864929795265,0.013646087609231472,0.06391309946775436,0.05889067053794861,0.016476696357131004,0.01566668599843979,Throttle,"['Speed', 'Throttle', 'Brake', 'RPM', 'nGear']",complex_multi_channel
2024,13,Hungarian Grand Prix,SAI,33,83.269,HARD,12,False,normal,0.019911278039216995,0.0031175485346466303,0.03259432688355446,0.05229900777339935,0.005941525101661682,0.005603977013379335,Brake,"['Speed', 'Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,SAI,63,83.407,MEDIUM,16,False,normal,0.018026180565357208,0.0026724052149802446,0.020308002829551697,0.05598672479391098,0.004776024259626865,0.006387748755514622,Brake,"['Speed', 'Brake', 'nGear']",complex_multi_channel
2024,13,Hungarian Grand Prix,SAI,70,83.336,MEDIUM,23,False,normal,0.013985170051455498,0.0008637522114440799,0.019343553110957146,0.042674604803323746,0.0042892382480204105,0.002754701068624854,Brake,['Brake'],brake_system
2024,13,Hungarian Grand Prix,PER,33,82.536,MEDIUM,5,False,normal,0.014925986528396606,0.0019443387864157557,0.024534335359930992,0.03832697495818138,0.005411993246525526,0.004412292502820492,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,PER,68,83.02,MEDIUM,21,False,normal,0.018678836524486542,0.0017445669509470463,0.023265395313501358,0.058006200939416885,0.006735637784004211,0.003642367199063301,Brake,"['Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,RUS,50,82.605,MEDIUM,17,False,normal,0.01633613184094429,0.001319555682130158,0.0230481568723917,0.04641203582286835,0.005831242073327303,0.00506967306137085,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,TSU,31,83.848,HARD,2,False,normal,0.02719719149172306,0.002448607934638858,0.03360379487276077,0.08940410614013672,0.005889417137950659,0.004640019033104181,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,TSU,46,84.108,HARD,17,False,normal,0.029646631330251694,0.0011345973471179605,0.028331706300377846,0.1060408502817154,0.007471831515431404,0.005254179239273071,Brake,"['Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,TSU,67,84.223,HARD,38,False,normal,0.01925167441368103,0.001062296680174768,0.056660961359739304,0.028466269373893738,0.00521714286878705,0.004851672798395157,Throttle,['Throttle'],driver_error_or_ers
2024,13,Hungarian Grand Prix,STR,27,86.225,MEDIUM,14,False,normal,0.016294512897729874,0.002395304851233959,0.02605067566037178,0.04114693030714989,0.005407531280070543,0.006472113076597452,Brake,"['Throttle', 'Brake', 'nGear']",complex_multi_channel
2024,13,Hungarian Grand Prix,ALO,10,85.175,MEDIUM,4,False,normal,0.016748491674661636,0.003084118478000164,0.034347645938396454,0.03343774005770683,0.007043511141091585,0.005829444620758295,Throttle,"['Speed', 'Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,ALO,26,85.889,MEDIUM,20,False,normal,0.015651961788535118,0.0012918411521241069,0.02510477788746357,0.04235558956861496,0.004678364377468824,0.004829226061701775,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,RIC,4,86.208,MEDIUM,4,False,normal,0.015802951529622078,0.0020996956154704094,0.022087275981903076,0.03968251124024391,0.00468900753185153,0.01045626774430275,Brake,"['Throttle', 'Brake', 'nGear']",complex_multi_channel
2024,13,Hungarian Grand Prix,RIC,56,83.623,HARD,28,False,normal,0.01566045917570591,0.000890311028342694,0.04364866390824318,0.026352515444159508,0.0037148490082472563,0.0036959426943212748,Throttle,['Throttle'],driver_error_or_ers
2024,13,Hungarian Grand Prix,RIC,69,88.092,HARD,41,False,normal,0.017256321385502815,0.003099460620433092,0.03407390043139458,0.03211597353219986,0.011341898702085018,0.005650372710078955,Throttle,"['Speed', 'Throttle', 'RPM']",power_unit
2024,13,Hungarian Grand Prix,HUL,32,83.765,HARD,3,False,normal,0.015566264279186726,0.0019434790592640638,0.02259402722120285,0.04437660053372383,0.00490902503952384,0.004008178599178791,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,HUL,58,85.961,HARD,29,False,normal,0.017169250175356865,0.002247169381007552,0.03602099046111107,0.03634728863835335,0.006118804682046175,0.005111998412758112,Brake,"['Throttle', 'Brake']",complex_multi_channel
