k,threshold,precision,recall,f1,n_flagged
1.0,0.5183201978172364,0.011254924029262802,0.3508771929824561,0.021810250817884406,1777
1.5,0.5271899899948296,0.0136986301369863,0.17543859649122806,0.025412960609911054,730
2.0,0.5360597821724229,0.022900763358778626,0.10526315789473684,0.03761755485893417,262
2.5,0.5449295743500161,0.0,0.0,0.0,74
3.0,0.5537993665276094,0.0,0.0,0.0,29
3.5,0.5626691587052026,0.0,0.0,0.0,10
4.0,0.5715389508827959,0.0,0.0,0.0,4
