Model,Precision,Recall,F1,ROC-AUC,PR-AUC,Predicted +,Actual +,Lead Time
autoencoder,0.021164021164021163,0.14035087719298245,0.0367816091954023,0.6495891742432475,0.01332289282504457,378,57,1.2857142857142858
vae,0.0033112582781456954,0.017543859649122806,0.005571030640668524,0.5091432124702672,0.006262440557118067,302,57,1.0
lstm_autoencoder,0.01020408163265306,0.05263157894736842,0.017094017094017096,0.48765862522790115,0.009442236877533792,294,57,1.0
isolation_forest,0.02092050209205021,0.08771929824561403,0.033783783783783786,0.6684008282923414,0.011241436551399307,239,57,1.0
one_class_svm,0.010752688172043012,0.017543859649122806,0.013333333333333334,0.5482169377331836,0.007124802766250931,93,57,1.0
