Season,Round,Circuit,Driver,LapNumber,LapTime_s,Compound,TyreLife,IsPit,Label,anomaly_score,error_Speed,error_Throttle,error_Brake,error_RPM,error_nGear,dominant_channel,elevated_channels,failure_mode
2024,13,Hungarian Grand Prix,NOR,33,83.992,HARD,17,False,normal,0.021438445895910263,0.002005161950364709,0.03808208927512169,0.061408430337905884,0.005586015060544014,0.00011052435002056882,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,NOR,67,85.666,MEDIUM,23,False,normal,0.03348385542631149,0.004837124142795801,0.07425542175769806,0.08287842571735382,0.005238741170614958,0.00020956348453182727,Brake,"['Speed', 'Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,NOR,68,86.787,MEDIUM,24,False,normal,0.06237911060452461,0.015928566455841064,0.11056146770715714,0.17123088240623474,0.013598047196865082,0.0005765957175754011,Brake,"['Speed', 'Throttle', 'Brake', 'RPM', 'nGear']",complex_multi_channel
2024,13,Hungarian Grand Prix,HAM,33,84.117,HARD,17,False,normal,0.022746864706277847,0.0023784260265529156,0.03938305750489235,0.06748924404382706,0.004352242685854435,0.00013135719927959144,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,HAM,34,84.355,HARD,18,False,normal,0.020944789052009583,0.002002948196604848,0.032757144421339035,0.06556585431098938,0.0042657614685595036,0.00013224707799963653,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,LEC,33,83.066,HARD,10,False,normal,0.02804511971771717,0.002685634419322014,0.04666478931903839,0.08300705254077911,0.007753350771963596,0.0001147532748291269,Brake,"['Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,VER,33,83.585,HARD,12,False,normal,0.026161517947912216,0.002292871242389083,0.0404902845621109,0.08346595615148544,0.004419309087097645,0.00013921524805482477,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,VER,34,84.275,HARD,13,False,normal,0.02488691359758377,0.0029280572198331356,0.048565614968538284,0.06699971854686737,0.005804393440485001,0.00013676605885848403,Brake,"['Speed', 'Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,VER,63,88.648,MEDIUM,14,False,normal,0.07321790605783463,0.014929651282727718,0.13981346786022186,0.19458486139774323,0.01631924882531166,0.0004422689089551568,Brake,"['Speed', 'Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,SAI,3,84.871,MEDIUM,3,False,normal,0.02104540541768074,0.0015784282004460692,0.040505364537239075,0.05900207534432411,0.004036360885947943,0.00010479710908839479,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,SAI,33,83.269,HARD,12,False,normal,0.024204211309552193,0.0019080039346590638,0.04386019706726074,0.0710766613483429,0.004052541684359312,0.00012365217844489962,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,SAI,63,83.407,MEDIUM,16,False,normal,0.02401795983314514,0.0023237012792378664,0.039243992418050766,0.07423930615186691,0.004144186154007912,0.0001386091171298176,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,SAI,70,83.336,MEDIUM,23,False,normal,0.022508928552269936,0.0014240475138649344,0.03584451600909233,0.07040204852819443,0.004771909676492214,0.00010214070061920211,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,PER,2,87.372,HARD,2,False,normal,0.021599827334284782,0.0017305633518844843,0.031082376837730408,0.07079049944877625,0.004259293898940086,0.00013638938253279775,Brake,['Brake'],brake_system
2024,13,Hungarian Grand Prix,PER,33,82.536,MEDIUM,5,False,normal,0.024244466796517372,0.0028053950518369675,0.02985060028731823,0.08172919601202011,0.006681044120341539,0.0001561097160447389,Brake,"['Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,PER,35,84.416,MEDIUM,7,False,normal,0.02169262245297432,0.001651023980230093,0.031124453991651535,0.07235133647918701,0.003238321514800191,9.799126564757898e-05,Brake,['Brake'],brake_system
2024,13,Hungarian Grand Prix,TSU,2,86.461,MEDIUM,2,False,normal,0.02309533953666687,0.0015332691837102175,0.03468955308198929,0.0752936378121376,0.0038351735565811396,0.00012503672041930258,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,TSU,31,83.848,HARD,2,False,normal,0.030932603403925896,0.002486214740201831,0.027467751875519753,0.11892639845609665,0.0056798430159688,0.00010276505054207519,Brake,['Brake'],brake_system
2024,13,Hungarian Grand Prix,TSU,33,85.2,HARD,4,False,normal,0.03645980358123779,0.004414604976773262,0.060073122382164,0.10785170644521713,0.009760798886418343,0.00019879433966707438,Brake,"['Speed', 'Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,TSU,46,84.108,HARD,17,False,normal,0.03273334726691246,0.001882597804069519,0.03976517170667648,0.11667723953723907,0.005240257363766432,0.00010151947208214551,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,TSU,67,84.223,HARD,38,False,normal,0.023270990699529648,0.001083694165572524,0.0652790293097496,0.04566137492656708,0.004226261284202337,0.00010462073259986937,Throttle,['Throttle'],driver_error_or_ers
2024,13,Hungarian Grand Prix,STR,3,86.471,SOFT,6,False,normal,0.02124033309519291,0.0016377620631828904,0.040914490818977356,0.05979267507791519,0.0037411898374557495,0.00011553033982636407,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,STR,33,84.743,MEDIUM,20,False,normal,0.03437679260969162,0.002580347703769803,0.07094831764698029,0.09301675111055374,0.005185979418456554,0.00015256927872542292,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,ALO,33,84.402,MEDIUM,27,False,normal,0.02238507941365242,0.0020926273427903652,0.038238026201725006,0.06708875298500061,0.004352484829723835,0.00015349984460044652,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,RIC,5,86.01,MEDIUM,5,False,normal,0.021617330610752106,0.0016057607717812061,0.0324382446706295,0.06912686675786972,0.004803945310413837,0.00011183390597580001,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,RIC,67,84.937,HARD,39,False,normal,0.022412970662117004,0.0014250566018745303,0.04078058898448944,0.06554006785154343,0.004207281395792961,0.00011188380449311808,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,RIC,69,88.092,HARD,41,False,normal,0.021907947957515717,0.0028423434123396873,0.04523085430264473,0.0541849359869957,0.007134901359677315,0.00014667610230389982,Brake,"['Throttle', 'RPM']",engine_response
2024,13,Hungarian Grand Prix,HUL,28,87.011,HARD,26,False,normal,0.02124226652085781,0.001518866396509111,0.036321382969617844,0.06433095037937164,0.003914873581379652,0.00012525951024144888,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,HUL,33,84.096,HARD,4,False,normal,0.023574570193886757,0.0016766790067777038,0.04264463111758232,0.07042495161294937,0.0029944160487502813,0.00013221667904872447,Brake,"['Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,HUL,58,85.961,HARD,29,False,normal,0.022660354152321815,0.002139664487913251,0.05676594376564026,0.05035770311951637,0.0039136530831456184,0.0001248048065463081,Throttle,['Throttle'],driver_error_or_ers
2024,13,Hungarian Grand Prix,HUL,66,88.909,HARD,37,False,normal,0.02792322263121605,0.0030881918501108885,0.050346121191978455,0.08106143772602081,0.004956068471074104,0.00016430940013378859,Brake,"['Speed', 'Throttle', 'Brake']",complex_multi_channel
2024,13,Hungarian Grand Prix,ALB,62,87.412,HARD,33,False,normal,0.042271219193935394,0.005036922171711922,0.0836014375090599,0.11630052328109741,0.006213432643562555,0.00020376961037982255,Brake,"['Speed', 'Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,ALB,63,89.563,HARD,34,False,normal,0.04117384925484657,0.005042410921305418,0.09336664527654648,0.10045363754034042,0.0067641353234648705,0.00024239388585556298,Brake,"['Speed', 'Throttle', 'Brake', 'RPM']",complex_multi_channel
2024,13,Hungarian Grand Prix,MAG,33,85.419,HARD,27,False,normal,0.02241070568561554,0.0020181341096758842,0.03467072173953056,0.06977587938308716,0.0054350439459085464,0.00015375159273389727,Brake,"['Throttle', 'Brake']",complex_multi_channel
