k,threshold,precision,recall,f1,n_flagged
1.0,0.016555365175008774,0.004985044865403789,0.08771929824561403,0.009433962264150943,1003
1.5,0.018752777948975563,0.006024096385542169,0.05263157894736842,0.010810810810810811,498
2.0,0.020950190722942352,0.007434944237918215,0.03508771929824561,0.012269938650306749,269
2.5,0.02314760349690914,0.005263157894736842,0.017543859649122806,0.008097165991902834,190
3.0,0.02534501627087593,0.007633587786259542,0.017543859649122806,0.010638297872340425,131
3.5,0.02754242718219757,0.009259259259259259,0.017543859649122806,0.012121212121212121,108
4.0,0.02973984181880951,0.011494252873563218,0.017543859649122806,0.013888888888888888,87
